NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1339,3,5,12,13,24,26,36.0,7300000.0,18/07/2023
30.0,1338,14,17,18,24,32,34,27.0,5500000.0,15/07/2023
30.0,1337,2,3,6,11,16,26,25.0,5200000.0,11/07/2023
30.0,1336,4,5,14,27,30,32,12.0,5100000.0,08/07/2023
30.0,1335,4,17,21,24,29,38,15.0,5000000.0,04/07/2023
30.0,1334,2,14,15,20,26,38,12.0,15000000.0,01/07/2023
30.0,1333,1,7,15,21,28,31,6.0,13300000.0,27/06/2023
30.0,1332,2,4,7,11,17,19,16.0,11500000.0,24/06/2023
30.0,1331,6,11,18,21,24,27,10.0,9900000.0,20/06/2023
30.0,1330,2,10,13,22,28,38,17.0,8300000.0,17/06/2023
30.0,1329,8,10,12,13,25,28,18.0,6900000.0,13/06/2023
30.0,1328,2,8,13,28,29,34,21.0,5500000.0,10/06/2023
30.0,1327,4,24,25,30,32,37,12.0,5200000.0,06/06/2023
30.0,1326,8,10,15,24,27,28,17.0,5100000.0,03/06/2023
30.0,1325,1,5,19,22,27,33,30.0,5000000.0,30/05/2023
30.0,1324,1,8,17,24,27,28,4.0,8700000.0,27/05/2023
30.0,1323,1,7,13,30,33,34,9.0,7300000.0,23/05/2023
30.0,1322,6,22,30,31,33,39,3.0,5900000.0,20/05/2023
30.0,1321,3,5,8,21,30,36,25.0,5200000.0,16/05/2023
30.0,1320,3,19,23,24,36,38,32.0,5100000.0,13/05/2023
30.0,1319,7,17,26,27,28,37,12.0,5000000.0,09/05/2023
30.0,1318,6,12,15,27,28,31,33.0,14300000.0,06/05/2023
30.0,1317,7,12,20,30,32,34,38.0,12300000.0,02/05/2023
30.0,1316,1,8,14,19,31,39,9.0,10500000.0,29/04/2023
30.0,1315,4,8,11,25,31,38,36.0,8900000.0,25/04/2023
30.0,1314,7,8,15,17,20,36,12.0,7300000.0,22/04/2023
30.0,1313,1,7,14,26,31,32,19.0,5900000.0,18/04/2023
30.0,1312,12,17,22,23,25,39,19.0,5200000.0,15/04/2023
30.0,1311,10,21,28,33,36,38,30.0,5100000.0,11/04/2023
30.0,1310,9,23,25,29,31,33,12.0,5000000.0,08/04/2023
30.0,1309,12,22,26,35,36,39,23.0,40300000.0,04/04/2023
30.0,1308,15,18,20,25,34,39,31.0,37300000.0,01/04/2023
30.0,1307,12,21,23,26,35,36,10.0,34500000.0,28/03/2023
30.0,1306,3,6,14,26,30,39,36.0,31700000.0,25/03/2023
30.0,1305,3,4,10,11,13,22,31.0,29500000.0,21/03/2023
30.0,1304,2,8,12,16,17,38,37.0,26900000.0,18/03/2023
30.0,1303,1,6,17,28,32,33,15.0,24300000.0,14/03/2023
30.0,1302,1,9,13,25,31,35,19.0,22000000.0,11/03/2023
30.0,1301,6,15,16,26,32,35,22.0,19700000.0,07/03/2023
30.0,1300,8,17,27,32,34,37,7.0,17300000.0,04/03/2023
30.0,1299,7,15,19,26,29,38,28.0,15300000.0,28/02/2023
30.0,1298,6,12,21,23,26,31,37.0,13300000.0,25/02/2023
30.0,1297,6,7,21,23,29,36,16.0,11500000.0,21/02/2023
30.0,1296,20,23,24,30,33,35,34.0,9700000.0,18/02/2023
30.0,1295,3,8,19,25,34,38,35.0,8300000.0,14/02/2023
30.0,1294,12,15,25,30,32,38,24.0,6700000.0,11/02/2023
30.0,1293,10,12,15,22,27,34,36.0,5300000.0,07/02/2023
30.0,1292,2,7,22,25,27,31,5.0,5200000.0,04/02/2023
30.0,1291,9,14,18,19,25,35,4.0,5100000.0,31/01/2023
30.0,1290,2,3,8,21,23,29,19.0,5000000.0,28/01/2023
30.0,1289,2,11,21,24,29,35,28.0,8700000.0,24/01/2023
30.0,1288,3,12,20,22,29,34,38.0,7000000.0,21/01/2023
30.0,1287,7,21,23,24,26,28,20.0,5700000.0,17/01/2023
30.0,1286,8,13,18,28,34,39,5.0,5200000.0,14/01/2023
30.0,1285,14,19,30,31,35,39,5.0,5100000.0,10/01/2023
30.0,1284,8,13,23,26,36,38,34.0,5000000.0,07/01/2023
30.0,1283,1,4,5,8,21,30,39.0,13900000.0,03/01/2023
30.0,1282,3,8,15,20,31,35,28.0,11700000.0,31/12/2022
30.0,1281,1,3,10,19,27,30,17.0,9700000.0,27/12/2022
30.0,1280,3,4,7,17,21,38,16.0,8300000.0,24/12/2022
30.0,1279,4,8,14,17,33,39,7.0,7000000.0,20/12/2022
30.0,1278,3,5,16,19,26,39,34.0,5500000.0,17/12/2022
30.0,1277,6,10,11,25,33,34,30.0,5200000.0,13/12/2022
30.0,1276,1,2,4,19,32,36,31.0,5100000.0,10/12/2022
30.0,1275,10,12,14,17,26,37,8.0,5000000.0,06/12/2022
